,key,value
460,interactions,2
102,avoid,2
3,computer,2
243,product,2
4,learning,2
543,run,2
314,skill,2
88,gap,2
251,big,2
544,iron,2
113,understanding,2
647,flavour,2
646,taste,2
493,requirement,2
237,platform,2
369,user,2
117,behaviour,2
509,engaging,2
24,manage,2
574,title,2
150,conversation,2
519,task,2
289,holistic,2
260,immerse,2
172,societal,2
553,continue,2
219,age,2
62,war,2
27,development,2
217,automation,2
273,collapse,2
60,ppl,2
59,interaction,2
525,lead,2
216,care,2
31,huge,2
186,adopt,2
450,space,2
212,computing,2
353,level,2
332,virtual,2
193,optimise,2
440,present,2
373,enhance,2
170,stressor,2
326,go,2
597,wio,2
596,wfh,2
280,power,2
465,poor,2
383,regulation,2
223,making,2
365,aspect,2
514,structure,2
286,largely,2
517,replace,2
263,dream,2
66,great,2
604,feel,2
165,customer,2
586,rule,2
226,scarcity,2
430,finally,2
598,worker,2
35,political,3
331,earth,3
32,crisis,3
345,give,3
90,year,3
6,learn,3
69,individual,3
328,rise,3
389,disaster,3
390,happen,3
318,know,3
336,advanced,3
63,choose,3
43,food,3
335,get,3
333,advancement,3
247,citizen,3
660,law,3
283,seek,3
159,understand,3
162,grow,3
163,purpose,3
437,complex,3
187,vr,3
192,order,3
96,humanity,3
147,sustainable,3
549,employee,3
207,deal,3
521,real,3
222,decision,3
510,peak,3
504,activity,3
255,different,3
477,spend,3
486,information,3
265,connect,3
145,local,3
294,system,3
110,make,3
126,automate,3
303,allow,3
108,government,3
122,company,3
118,service,3
107,problem,3
15,thing,4
49,find,4
16,software,4
18,point,4
230,realise,4
33,environment,4
213,artificial,4
214,intelligence,4
215,take,4
218,shift,4
111,use,4
556,solution,4
234,easy,4
508,leisure,4
179,create,4
12,climate,4
246,demand,4
175,mental,4
176,health,4
65,device,4
180,maintain,4
64,interact,4
135,sense,4
58,lack,4
183,issue,4
236,digital,4
253,datum,4
158,want,4
134,meaningful,5
28,ai,5
105,solve,5
252,group,5
11,future,5
461,designer,5
261,reality,5
143,community,5
85,role,5
44,energy,5
196,think,5
195,time,5
140,support,5
17,come,6
8,knowledge,6
194,long,6
112,design,6
199,exist,6
184,metaverse,6
103,social,7
133,help,7
51,live,7
129,like,7
53,life,7
475,increase,8
201,ensure,8
242,way,8
130,new,9
210,tech,9
39,resource,10
34,society,10
125,job,10
30,world,16
132,technology,17
13,change,18
21,work,22
2,human,25
48,people,33
54,need,41
